answer,human_answer,semantic_similarity,result
"   Oddly, in a year marred by the global pandemic and just this month an all-time high number of stay-at-home orders, this hot IPO is a travel company. Airbnb—originally known as AirBed and Breakfast Incorporate—is going public today raising over $3.5 billion, and initially valued at over $47 billion.Question","December 9,2020 at $68 per share",0.3883976340293884,INCORRECT
"Question: Why did Wimdu unlike Airbnb not take off?Context: Wimdu, I don’t know if it’s still around, but it never takes off. The other amazing thing—even though Airbnb went out and raised all this money—it turns out, they have a killer part of their business model and how the operations work. They did this with Airbnb",Wimdu gragmented the marketed focusing mostly on Europe unlike Airbnb whose market focus was both global and local ,0.6435113549232483,CORRECT
"Question: Why does market fragmentation work for airline industry but could't work for Airbnb in the early days?Answer: I don't know. I think part of the reason that Airbnb has such amazing free cash flow dynamics is—whether intentional or not—they started this new market, new idea. When you do that, you have an opportunity to set the terms of how the market operates",Even though both the airline industry and airbnb have a global geographical presence the airline operators working on a global scale have different requirements so do local and regional operators leading to different required infrastructure hence market fragmentation becomes important,0.68027663230896,CORRECT
" Ben: All right, here's how it all works today. Very famously, as David and I talked about, the hotdog and drink combo has been $1.50 for many, many years. When Jim Sinegal handed over the reins to Craig Jelinek, Craig went to him and said, hey, we're close on margin here, or maybe we're upside",130 million,0.1470291018486023,INCORRECT
"Question: What store was created as ""the price club of hardware stores""?Context: They sell to retail chains. Ben: In some ways, we have to tell a whole industry history here. Price Club is really, of course, the actual result of Sol's previous company, FedMart, which itself really came out of Fedco in the 1940s. I think the origins of",Home Depot,0.2257121503353119,INCORRECT
"Question: How long did it take for Costco to generate 1 billion dollars in revenue?Context: Costco does $240 billion in revenue today? Ben: Yup, and Walmart does $620 billion. Costco has grown revenue right about 10% for over 30 years in a row. It was $3 billion in 1989. By the merger in 1993, Costco and Price Club are each about",Within 3 years,0.20015913248062134,INCORRECT
"Question: What is the New Look?Context: This look from Dior comes to be called the new look because at the show introducing it, the editor in chief of Harper's Bazaar famously exclaimed to Christian, ""It is quite a revolution, Dear Christian. Your dresses have such a new look."" But we can't overstate the cultural importance of this.   CR Fashion",Look that celebrates life again after the WW2 created by Christian Dior house.,0.34285682439804077,INCORRECT
" Ben: This thing's hemorrhaging cash. It gets to a point where by the late 60s, they're losing $20 million a year across the whole company. As Boussac is going down the tubes, they start trying to sell off pieces of the empire, monetize, and do anything they can.Question: How much money did the Arnaut family offer to buy",15 million dollars bid,0.4222906231880188,INCORRECT
" David: Ben, do you know what company was also founded in 1837 that we have discussed quite a bit on Acquired? Oh, I see, it's got an on-chain location and blah-blah-Blah. Another client is a jewelry store called Four Star Jewelers. This might start to sound a little familiar here. It's literally the exact same thing",Tiffany and Co. brand,0.42271924018859863,INCORRECT
"Question: According to Information Theory, what is the importance of knowing what message your sender is trying to convey?Context: There's this relationship between how noisy a message can be and how noisy the medium is that you're communicating in. The method by which you communicate, the way you send signals is governed by that medium. What I mean by that in particular is let's use the",The more closely the actual communication is to the expected message the 'noisier' the transmission medium can be and the less important gain is.,0.5988485217094421,CORRECT
